City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,chuy,-33.7,-53.46,67.68,95,100,11.5,UY,1588118524
123,mogapinyana,-22.37,27.6,57.33,67,26,3.31,BW,1588118524
124,leningradskiy,69.38,178.42,29.07,96,65,3.06,RU,1588118524
125,baykit,61.67,96.37,40.33,75,86,1.97,RU,1588118525
126,laguna,38.42,-121.42,91.4,22,1,4.56,US,1588118437
127,portland,45.52,-122.68,73.99,43,75,4.7,US,1588118358
128,lexington park,38.27,-76.45,55.4,82,90,12.75,US,1588118525
129,awbari,26.59,12.78,76.75,17,7,6.42,LY,1588118526
130,havoysund,71.0,24.66,26.6,73,38,12.75,NO,1588118526
131,valley city,46.92,-98.0,53.6,100,20,8.05,US,1588118526
132,penzance,50.12,-5.54,52.0,93,30,3.36,GB,1588118526
133,bafq,31.61,55.41,68.77,21,0,5.75,IR,1588118526
134,pangnirtung,66.15,-65.71,10.06,81,0,1.86,CA,1588118526
135,kashin,57.36,37.61,37.58,89,100,14.67,RU,1588118527
136,betsiamites,48.94,-68.65,48.2,36,1,12.75,CA,1588118527
137,awjilah,29.11,21.29,73.83,34,82,11.05,LY,1588118527
138,tuatapere,-46.13,167.68,60.01,66,100,8.01,NZ,1588118527
139,taksimo,56.34,114.88,49.26,37,99,3.33,RU,1588118528
140,borujerd,33.9,48.75,47.3,39,26,3.31,IR,1588118528
141,ziniare,12.58,-1.3,87.8,48,20,18.34,BF,1588118528
142,albany,42.6,-73.97,57.0,52,62,3.0,US,1588118528
143,cabedelo,-6.98,-34.83,77.0,88,99,4.7,BR,1588118438
144,butaritari,3.07,172.79,83.07,77,85,14.09,KI,1588118529
145,yulara,-25.24,130.99,64.4,72,9,20.8,AU,1588118529
146,namatanai,-3.67,152.43,86.54,65,98,3.94,PG,1588118529
147,yumen,40.28,97.2,62.47,11,52,9.22,CN,1588118529
148,mount vernon,40.91,-73.84,63.0,44,20,12.75,US,1588118463
149,alizai,33.54,70.35,64.98,54,17,1.88,PK,1588118530
150,broken hill,-31.95,141.43,68.0,64,49,10.29,AU,1588118530
151,muzhi,65.37,64.67,28.81,98,100,15.95,RU,1588118530
152,herat,34.5,62.0,62.15,53,63,12.8,AF,1588118530
153,diamantino,-14.41,-56.45,74.01,71,44,4.0,BR,1588118531
154,ibra,22.69,58.53,86.99,35,82,0.58,OM,1588118531
155,san patricio,19.22,-104.7,80.6,65,40,11.41,MX,1588118531
156,zhanakorgan,43.91,67.25,59.27,61,66,3.76,KZ,1588118532
157,vakhrushev,48.98,142.97,41.52,71,73,4.54,RU,1588118532
158,avera,33.19,-82.53,73.4,40,1,4.72,US,1588118532
159,robe,-37.18,139.75,56.62,70,100,14.97,AU,1588118532
160,esperance,-33.87,121.9,51.8,76,40,17.22,AU,1588118533
161,teya,60.38,92.63,46.36,68,74,1.43,RU,1588118533
162,zaigrayevo,51.83,108.27,41.0,75,100,2.24,RU,1588118533
163,bengkulu,-3.8,102.27,77.22,81,37,3.74,ID,1588118533
164,talnakh,69.49,88.4,19.4,85,40,6.71,RU,1588118533
165,alyangula,-13.85,136.42,80.6,94,92,10.18,AU,1588118534
166,prainha,-1.8,-53.48,78.12,85,84,2.89,BR,1588118534
167,constantine,36.37,6.61,57.2,71,75,4.7,DZ,1588118454
168,kilindoni,-7.91,39.67,81.5,79,100,16.89,TZ,1588118534
169,broome,42.25,-75.83,55.99,40,90,6.93,US,1588118535
170,saskylakh,71.92,114.08,17.73,96,96,4.25,RU,1588118535
171,kabanga,-2.64,30.47,58.95,63,65,2.24,TZ,1588118535
172,zhezkazgan,47.8,67.71,50.5,68,43,8.77,KZ,1588118535
173,avarua,-21.21,-159.78,80.6,74,29,5.82,CK,1588118535
174,whitefish,48.41,-114.34,64.4,27,1,16.11,US,1588118467
175,nanortalik,60.14,-45.24,34.77,84,80,6.11,GL,1588118536
176,kisoro,-1.29,29.68,55.78,54,64,2.39,UG,1588118536
177,the valley,18.22,-63.06,81.0,69,20,6.93,AI,1588118536
178,souillac,-20.52,57.52,71.6,83,75,6.93,MU,1588118536
179,bereda,43.27,-7.54,57.99,85,77,10.0,ES,1588118537
180,picui,-6.51,-36.35,71.31,77,98,12.21,BR,1588118531
181,mayya,61.73,130.28,33.8,90,75,8.95,RU,1588118537
182,oistins,13.07,-59.53,78.8,83,75,14.99,BB,1588118538
183,buala,-8.14,159.59,86.29,70,26,7.83,SB,1588118538
184,paamiut,61.99,-49.67,30.54,95,0,12.1,GL,1588118538
185,aklavik,68.22,-135.01,19.4,73,90,10.29,CA,1588118538
186,cabo san lucas,22.89,-109.91,91.4,36,5,11.41,MX,1588118416
187,sao felix do xingu,-6.64,-51.99,73.69,89,55,2.04,BR,1588118538
188,athabasca,54.72,-113.29,60.12,27,50,10.78,CA,1588118374
189,khani,41.96,42.96,42.8,87,2,4.7,GE,1588118539
190,touros,-5.2,-35.46,75.2,94,75,3.36,BR,1588118539
191,artyom,40.47,50.33,48.2,76,99,9.17,AZ,1588118539
192,mancio lima,-7.61,-72.9,75.09,90,89,0.74,BR,1588118539
193,bindi,9.92,-11.45,78.6,62,98,4.12,SL,1588118540
194,erzin,36.96,36.2,64.0,82,0,3.29,TR,1588118540
195,mbaiki,3.87,17.99,71.71,83,33,2.73,CF,1588118540
196,hithadhoo,-0.6,73.08,83.46,78,100,16.53,MV,1588118541
197,strezhevoy,60.73,77.59,46.4,75,100,8.95,RU,1588118541
198,north bend,43.41,-124.22,64.0,77,1,10.29,US,1588118394
199,yellowknife,62.46,-114.35,42.8,87,20,9.17,CA,1588118541
200,mungwi,-10.17,31.37,60.4,66,78,3.27,ZM,1588118542
201,poum,-20.23,164.02,77.86,71,0,10.02,NC,1588118542
202,sinnamary,5.38,-52.95,78.19,83,18,9.73,GF,1588118543
203,bambous virieux,-20.34,57.76,71.6,83,75,6.93,MU,1588118543
204,mikhaylovsk,45.13,42.03,41.0,56,0,8.95,RU,1588118543
205,lakhnadon,22.6,79.6,75.4,27,0,4.85,IN,1588118543
206,kuala perlis,6.4,100.13,78.8,100,20,3.36,MY,1588118544
207,ust-uda,54.17,103.03,53.2,49,100,2.39,RU,1588118544
208,xuddur,4.12,43.89,77.13,66,67,8.63,SO,1588118544
209,chepareria,1.31,35.2,61.59,53,87,2.86,KE,1588118545
210,kalmunai,7.42,81.82,78.85,85,31,6.62,LK,1588118545
211,leogane,18.51,-72.63,86.0,66,21,10.29,HT,1588118545
212,altay,47.87,88.12,64.06,23,33,5.95,CN,1588118545
213,jumla,29.27,82.18,44.11,30,4,3.09,NP,1588118546
214,sur,22.57,59.53,86.63,52,49,3.2,OM,1588118546
215,burnie,-41.07,145.92,61.0,93,99,21.99,AU,1588118546
216,coahuayana,18.73,-103.68,87.8,29,40,11.41,MX,1588118547
217,longyearbyen,78.22,15.64,35.6,69,75,23.04,SJ,1588118437
218,richards bay,-28.78,32.04,64.99,74,94,11.36,ZA,1588118548
219,macamic,48.75,-79.0,57.2,22,20,9.17,CA,1588118548
220,toropets,56.5,31.64,47.44,89,100,11.45,RU,1588118548
221,chelmza,53.18,18.6,50.0,66,100,14.99,PL,1588118549
222,san angelo,31.46,-100.44,102.2,10,1,13.87,US,1588118363
223,luderitz,-26.65,15.16,59.0,82,0,3.36,NA,1588118549
224,mozarlandia,-14.74,-50.57,72.46,73,0,4.0,BR,1588118549
225,warwick,41.7,-71.42,46.4,70,75,11.41,US,1588118314
226,san-pedro,4.75,-6.64,79.57,87,97,5.37,CI,1588118550
